atributo,subgrupo,n,prevalencia,auroc,sensibilidad,especificidad,fnr_infradiagnostico,fpr
sex,M,9720,0.0149,0.7096,0.5793,0.7373,0.4207,0.2627
sex,F,6983,0.011,0.7402,0.6104,0.7341,0.3896,0.2659
age_group,75+,499,0.004,0.4517,0.0,0.8149,1.0,0.1851
age_group,60-74,3518,0.0125,0.6302,0.4773,0.7478,0.5227,0.2522
age_group,40-59,7174,0.0106,0.7362,0.5789,0.7468,0.4211,0.2532
age_group,0-17,913,0.0208,0.6819,0.6316,0.6107,0.3684,0.3893
age_group,18-39,4596,0.0176,0.7516,0.6667,0.7258,0.3333,0.2742
view,PA,9857,0.0092,0.6815,0.3846,0.8242,0.6154,0.1758
view,AP,6846,0.0191,0.7179,0.7328,0.6077,0.2672,0.3923
sex x age_group,M | 75+,286,0.007,0.4877,0.0,0.8521,1.0,0.1479
sex x age_group,F | 0-17,230,0.013,0.5301,0.3333,0.7004,0.6667,0.2996
sex x age_group,F | 60-74,1455,0.0103,0.5613,0.4,0.7181,0.6,0.2819
sex x age_group,M | 40-59,3955,0.0104,0.6798,0.4878,0.7657,0.5122,0.2343
sex x age_group,M | 60-74,2063,0.0141,0.6662,0.5172,0.7689,0.4828,0.2311
sex x age_group,F | 18-39,1866,0.0129,0.7657,0.6667,0.7655,0.3333,0.2345
sex x age_group,M | 18-39,2730,0.0209,0.7376,0.6667,0.6985,0.3333,0.3015
sex x age_group,F | 40-59,3219,0.0109,0.8061,0.6857,0.7236,0.3143,0.2764
sex x age_group,M | 0-17,683,0.0234,0.6987,0.6875,0.5802,0.3125,0.4198
