atributo,subgrupo,n,prevalencia,auroc,sensibilidad,especificidad,fnr_infradiagnostico,fpr
sex,M,2165,0.2337,0.8764,0.7747,0.8005,0.2253,0.1995
sex,F,1647,0.2155,0.8954,0.7775,0.8282,0.2225,0.1718
age_group,60-74,811,0.1924,0.8422,0.6667,0.8107,0.3333,0.1893
age_group,0-17,184,0.3587,0.8424,0.7576,0.7542,0.2424,0.2458
age_group,40-59,1697,0.2251,0.8892,0.7906,0.8144,0.2094,0.1856
age_group,18-39,1003,0.2313,0.9122,0.8147,0.8223,0.1853,0.1777
age_group,75+,117,0.2137,0.8796,0.92,0.7935,0.08,0.2065
view,PA,2020,0.0886,0.8507,0.4469,0.9354,0.5531,0.0646
view,AP,1792,0.3806,0.8419,0.8622,0.609,0.1378,0.391
sex x age_group,M | 60-74,495,0.1919,0.8404,0.6632,0.805,0.3368,0.195
sex x age_group,F | 60-74,316,0.193,0.8458,0.6721,0.8196,0.3279,0.1804
sex x age_group,M | 0-17,122,0.3689,0.8069,0.7556,0.7013,0.2444,0.2987
sex x age_group,F | 0-17,62,0.3387,0.9082,0.7619,0.8537,0.2381,0.1463
sex x age_group,F | 40-59,783,0.2171,0.8922,0.7765,0.8271,0.2235,0.1729
sex x age_group,M | 40-59,914,0.2319,0.886,0.8019,0.8034,0.1981,0.1966
sex x age_group,M | 18-39,563,0.2522,0.8955,0.8028,0.8076,0.1972,0.1924
sex x age_group,F | 18-39,440,0.2045,0.9324,0.8333,0.84,0.1667,0.16
sex x age_group,M | 75+,71,0.169,0.887,0.9167,0.8136,0.0833,0.1864
sex x age_group,F | 75+,46,0.2826,0.8648,0.9231,0.7576,0.0769,0.2424
